Run,ENA-CHECKLIST,ENA-SPOT-COUNT,ENA-BASE-COUNT,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Sample,Read depth
ERR1225147,ERC000011,68281,20188331,2016-12-27,2017-01-06,ERS1039022,
ERR1225148,ERC000011,118190,34833047,2016-12-27,2017-01-06,ERS1039023,
ERR1225149,ERC000011,61664,18161617,2016-12-27,2017-01-06,ERS1039024,
ERR1225150,ERC000011,40164,11873015,2016-12-27,2017-01-06,ERS1039025,
ERR1225151,ERC000011,39941,11835983,2016-12-27,2017-01-06,ERS1039026,
ERR1225152,ERC000011,41441,12232311,2016-12-27,2017-01-06,ERS1039027,
ERR1225153,ERC000011,59795,17596203,2016-12-27,2017-01-06,ERS1039028,
ERR1225154,ERC000011,67241,19818720,2016-12-27,2017-01-06,ERS1039029,
ERR1225155,ERC000011,96520,28332763,2016-12-27,2017-01-06,ERS1039030,
ERR1225156,ERC000011,67092,19762745,2016-12-27,2017-01-06,ERS1039031,
ERR1225157,ERC000011,78928,23270721,2016-12-27,2017-01-06,ERS1039032,
ERR1225158,ERC000011,73666,21708037,2016-12-27,2017-01-06,ERS1039033,
ERR1225159,ERC000011,41064,12093980,2016-12-27,2017-01-06,ERS1039034,
ERR1225160,ERC000011,51364,15121844,2016-12-27,2017-01-06,ERS1039035,
ERR1225161,ERC000011,37394,11041474,2016-12-27,2017-01-06,ERS1039036,
ERR1225162,ERC000011,40780,12061496,2016-12-27,2017-01-06,ERS1039037,
ERR1225163,ERC000011,41724,12260572,2016-12-27,2017-01-06,ERS1039038,
ERR1225164,ERC000011,44362,13040945,2016-12-27,2017-01-06,ERS1039039,
ERR1225165,ERC000011,67439,19858375,2016-12-27,2017-01-06,ERS1039040,
ERR1225166,ERC000011,44082,13036774,2016-12-27,2017-01-06,ERS1039041,
ERR1225167,ERC000011,41574,12306974,2016-12-27,2017-01-06,ERS1039042,
ERR1225168,ERC000011,38404,11297601,2016-12-27,2017-01-06,ERS1039043,
ERR1225169,ERC000011,49019,14431819,2016-12-27,2017-01-06,ERS1039044,
ERR1225170,ERC000011,34285,10105496,2016-12-27,2017-01-06,ERS1039045,
ERR1225171,ERC000011,40242,11799768,2016-12-27,2017-01-06,ERS1039046,
ERR1225172,ERC000011,31418,9232461,2016-12-27,2017-01-06,ERS1039047,
ERR1225173,ERC000011,46463,13683354,2016-12-27,2017-01-06,ERS1039048,
ERR1225174,ERC000011,36881,10881591,2016-12-27,2017-01-06,ERS1039049,
ERR1225175,ERC000011,19719,5839515,2016-12-27,2017-01-06,ERS1039050,
ERR1225176,ERC000011,27427,8088025,2016-12-27,2017-01-06,ERS1039051,
ERR1225177,ERC000011,35391,10414691,2016-12-27,2017-01-06,ERS1039052,
ERR1225178,ERC000011,22984,6792364,2016-12-27,2017-01-06,ERS1039053,
ERR1225179,ERC000011,31621,9297340,2016-12-27,2017-01-06,ERS1039054,
ERR1225180,ERC000011,19642,5810020,2016-12-27,2017-01-06,ERS1039055,
ERR1225181,ERC000011,44345,12960853,2016-12-27,2017-01-06,ERS1039056,
ERR1225182,ERC000011,42530,12536755,2016-12-27,2017-01-06,ERS1039057,
ERR1225183,ERC000011,34091,10010519,2016-12-27,2017-01-06,ERS1039058,
ERR1225184,ERC000011,21314,6300759,2016-12-27,2017-01-06,ERS1039059,
ERR1225185,ERC000011,34787,10228259,2016-12-27,2017-01-06,ERS1039060,
ERR1225186,ERC000011,34984,10322872,2016-12-27,2017-01-06,ERS1039061,
ERR1225187,ERC000011,21141,6252720,2016-12-27,2017-01-06,ERS1039062,
ERR1225188,ERC000011,24032,7098340,2016-12-27,2017-01-06,ERS1039063,
ERR1225189,ERC000011,45140,13286868,2016-12-27,2017-01-06,ERS1039064,
ERR1225190,ERC000011,67498,20026657,2016-12-27,2017-01-06,ERS1039065,
ERR1225191,ERC000011,49495,14632523,2016-12-27,2017-01-06,ERS1039066,
ERR1225192,ERC000011,39559,11663030,2016-12-27,2017-01-06,ERS1039067,
ERR1225193,ERC000011,47005,13835047,2016-12-27,2017-01-06,ERS1039068,
ERR1225194,ERC000011,30949,9133994,2016-12-27,2017-01-06,ERS1039069,
ERR1225195,ERC000011,44717,13160794,2016-12-27,2017-01-06,ERS1039070,
ERR1225196,ERC000011,34962,10286660,2016-12-27,2017-01-06,ERS1039071,
ERR1225197,ERC000011,37469,10991014,2016-12-27,2017-01-06,ERS1039072,
ERR1225198,ERC000011,69649,20485226,2016-12-27,2017-01-06,ERS1039073,
ERR1225199,ERC000011,45086,13325239,2016-12-27,2017-01-06,ERS1039074,
ERR1225200,ERC000011,89396,26216186,2016-12-27,2017-01-06,ERS1039075,
ERR1225201,ERC000011,151663,44341293,2016-12-27,2017-01-06,ERS1039076,
ERR1225202,ERC000011,71192,21070407,2016-12-27,2017-01-06,ERS1039077,
ERR1225203,ERC000011,66491,19571413,2016-12-27,2017-01-06,ERS1039078,
ERR1225204,ERC000011,72701,21513734,2016-12-27,2017-01-06,ERS1039079,
ERR1225205,ERC000011,95699,27012108,2016-12-27,2017-01-06,ERS1039080,
ERR1225206,ERC000011,82926,24367359,2016-12-27,2017-01-06,ERS1039081,
ERR1225207,ERC000011,74895,22010195,2016-12-27,2017-01-06,ERS1039082,
ERR1225208,ERC000011,59408,17587875,2016-12-27,2017-01-06,ERS1039083,
ERR1225209,ERC000011,77330,22830097,2016-12-27,2017-01-06,ERS1039084,
ERR1225210,ERC000011,102662,30154943,2016-12-27,2017-01-06,ERS1039085,
ERR1225211,ERC000011,35368,10449375,2016-12-27,2017-01-06,ERS1039086,
ERR1225212,ERC000011,121416,35622082,2016-12-27,2017-01-06,ERS1039087,
ERR1225213,ERC000011,89908,26549109,2016-12-27,2017-01-06,ERS1039088,
ERR1225214,ERC000011,79922,23617432,2016-12-27,2017-01-06,ERS1039089,
ERR1225215,ERC000011,56829,16770733,2016-12-27,2017-01-06,ERS1039090,
ERR1225216,ERC000011,78809,23196948,2016-12-27,2017-01-06,ERS1039091,
ERR1225217,ERC000011,111621,32919810,2016-12-27,2017-01-06,ERS1039092,
ERR1225218,ERC000011,67277,19782536,2016-12-27,2017-01-06,ERS1039093,
ERR1225219,ERC000011,73179,21459933,2016-12-27,2017-01-06,ERS1039094,
ERR1225220,ERC000011,111035,31252671,2016-12-27,2017-01-06,ERS1039095,
ERR1225221,ERC000011,84947,25059937,2016-12-27,2017-01-06,ERS1039096,
ERR1225222,ERC000011,54553,16095150,2016-12-27,2017-01-06,ERS1039097,
ERR1225223,ERC000011,85125,24992552,2016-12-27,2017-01-06,ERS1039098,
ERR1225224,ERC000011,73295,21525193,2016-12-27,2017-01-06,ERS1039099,
ERR1225225,ERC000011,85991,25329032,2016-12-27,2017-01-06,ERS1039100,
ERR1225226,ERC000011,92607,27182079,2016-12-27,2017-01-06,ERS1039101,
ERR1225227,ERC000011,55362,16347924,2016-12-27,2017-01-06,ERS1039102,
ERR1225228,ERC000011,49541,14605337,2016-12-27,2017-01-06,ERS1039103,
ERR1225229,ERC000011,47317,13978743,2016-12-27,2017-01-06,ERS1039104,
ERR1225230,ERC000011,22951,6770712,2016-12-27,2017-01-06,ERS1039105,
