study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB10913	SAMEA3543192	ERX1098560	ERR1019620	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1019620/ERR1019620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1019620/ERR1019620_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019620/1.22w.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019620/1.22w.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/000/ERR1019620
PRJEB10913	SAMEA3543193	ERX1098561	ERR1019621	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1019621/ERR1019621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1019621/ERR1019621_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019621/1.36w.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019621/1.36w.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/001/ERR1019621
PRJEB10913	SAMEA3543194	ERX1098562	ERR1019622	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1019622/ERR1019622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1019622/ERR1019622_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019622/1.39w.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019622/1.39w.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/002/ERR1019622
PRJEB10913	SAMEA3543195	ERX1098563	ERR1019623	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1019623/ERR1019623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1019623/ERR1019623_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019623/10.26.4w.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019623/10.26.4w.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/003/ERR1019623
PRJEB10913	SAMEA3543196	ERX1098564	ERR1019624	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1019624/ERR1019624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1019624/ERR1019624_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019624/100.25.3w.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019624/100.25.3w.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/004/ERR1019624
PRJEB10913	SAMEA3543197	ERX1098565	ERR1019625	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1019625/ERR1019625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1019625/ERR1019625_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019625/101.26.1w.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019625/101.26.1w.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/005/ERR1019625
PRJEB10913	SAMEA3543198	ERX1098566	ERR1019626	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019626/ERR1019626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019626/ERR1019626_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019626/102.16.2w.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019626/102.16.2w.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/006/ERR1019626
PRJEB10913	SAMEA3543199	ERX1098567	ERR1019627	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1019627/ERR1019627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1019627/ERR1019627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019627/102.27.3w.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019627/102.27.3w.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/007/ERR1019627
PRJEB10913	SAMEA3543200	ERX1098568	ERR1019628	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1019628/ERR1019628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1019628/ERR1019628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019628/102.37.5w.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019628/102.37.5w.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/008/ERR1019628
PRJEB10913	SAMEA3543201	ERX1098569	ERR1019629	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1019629/ERR1019629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1019629/ERR1019629_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019629/104.17.3w.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019629/104.17.3w.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/009/ERR1019629
