study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_bytes	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp
PRJNA208535	SAMN06600038	SRX2638912	SRR5342238	1632839	human vaginal metagenome	377507;541;519	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342238/SRR5342238.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342238/SRR5342238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342238/SRR5342238_2.fastq.gz		575284	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/008/SRR5342238
PRJNA208535	SAMN06600037	SRX2638913	SRR5342239	1632839	human vaginal metagenome	27963832;48304;44381	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342239/SRR5342239.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342239/SRR5342239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342239/SRR5342239_2.fastq.gz		42240222	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/009/SRR5342239
PRJNA208535	SAMN06600036	SRX2638914	SRR5342240	1632839	human vaginal metagenome	81038;126806;181643	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342240/SRR5342240.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342240/SRR5342240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342240/SRR5342240_2.fastq.gz		792563	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/000/SRR5342240
PRJNA208535	SAMN06600035	SRX2638915	SRR5342241	1632839	human vaginal metagenome	333137;468030;696015	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342241/SRR5342241.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342241/SRR5342241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342241/SRR5342241_2.fastq.gz		2929688	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/001/SRR5342241
PRJNA208535	SAMN06600034	SRX2638916	SRR5342242	1632839	human vaginal metagenome	6155;7023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342242/SRR5342242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342242/SRR5342242_2.fastq.gz		75799	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/002/SRR5342242
PRJNA208535	SAMN06600033	SRX2638917	SRR5342243	1632839	human vaginal metagenome	370670;448677	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342243/SRR5342243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342243/SRR5342243_2.fastq.gz		1491510	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/003/SRR5342243
PRJNA208535	SAMN06600032	SRX2638918	SRR5342244	1632839	human vaginal metagenome	939117;1184664	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342244/SRR5342244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342244/SRR5342244_2.fastq.gz		3891703	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/004/SRR5342244
PRJNA208535	SAMN06600031	SRX2638919	SRR5342245	1632839	human vaginal metagenome	847879;1016037	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/005/SRR5342245/SRR5342245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/005/SRR5342245/SRR5342245_2.fastq.gz		3277282	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/005/SRR5342245
PRJNA208535	SAMN06600030	SRX2638920	SRR5342246	1632839	human vaginal metagenome	667790;727529	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/006/SRR5342246/SRR5342246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/006/SRR5342246/SRR5342246_2.fastq.gz		2523244	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/006/SRR5342246
PRJNA208535	SAMN06600029	SRX2638921	SRR5342247	1632839	human vaginal metagenome	1515632;1748944	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342247/SRR5342247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342247/SRR5342247_2.fastq.gz		5506142	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/007/SRR5342247
PRJNA208535	SAMN06600028	SRX2638922	SRR5342248	1632839	human vaginal metagenome	27004603;44191;47835	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342248/SRR5342248.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342248/SRR5342248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342248/SRR5342248_2.fastq.gz		40501893	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/008/SRR5342248
PRJNA208535	SAMN06600027	SRX2638923	SRR5342249	1632839	human vaginal metagenome	31501441;56143;52281	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342249/SRR5342249.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342249/SRR5342249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342249/SRR5342249_2.fastq.gz		47508223	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/009/SRR5342249
PRJNA208535	SAMN06600026	SRX2638924	SRR5342250	1632839	human vaginal metagenome	17472234;21835;23507	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342250/SRR5342250.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342250/SRR5342250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342250/SRR5342250_2.fastq.gz		27935254	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/000/SRR5342250
PRJNA208535	SAMN06600025	SRX2638925	SRR5342251	1632839	human vaginal metagenome	575156;584566	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342251/SRR5342251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/001/SRR5342251/SRR5342251_2.fastq.gz		2128316	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/001/SRR5342251
PRJNA208535	SAMN06600024	SRX2638926	SRR5342252	1632839	human vaginal metagenome	1302292;1423706	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342252/SRR5342252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/002/SRR5342252/SRR5342252_2.fastq.gz		4887780	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/002/SRR5342252
PRJNA208535	SAMN06600023	SRX2638927	SRR5342253	1632839	human vaginal metagenome	595121;674692	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342253/SRR5342253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/003/SRR5342253/SRR5342253_2.fastq.gz		2298174	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/003/SRR5342253
PRJNA208535	SAMN06600022	SRX2638928	SRR5342254	1632839	human vaginal metagenome	103831	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/004/SRR5342254/SRR5342254.fastq.gz		201053	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/004/SRR5342254
PRJNA208535	SAMN06600021	SRX2638929	SRR5342255	1632839	human vaginal metagenome	1527064	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/005/SRR5342255/SRR5342255.fastq.gz		2358295	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/005/SRR5342255
PRJNA208535	SAMN06600020	SRX2638930	SRR5342256	1632839	human vaginal metagenome	291127	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/006/SRR5342256/SRR5342256.fastq.gz		487943	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/006/SRR5342256
PRJNA208535	SAMN06600019	SRX2638931	SRR5342257	1632839	human vaginal metagenome	24727652;34781;36839	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342257/SRR5342257.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342257/SRR5342257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/007/SRR5342257/SRR5342257_2.fastq.gz		38760913	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/007/SRR5342257
PRJNA208535	SAMN06600018	SRX2638932	SRR5342258	1632839	human vaginal metagenome	17870028;18292;19908	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342258/SRR5342258.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342258/SRR5342258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/008/SRR5342258/SRR5342258_2.fastq.gz		27073230	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/008/SRR5342258
PRJNA208535	SAMN06600017	SRX2638933	SRR5342259	1632839	human vaginal metagenome	821975;274;291	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342259/SRR5342259.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342259/SRR5342259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/009/SRR5342259/SRR5342259_2.fastq.gz		1227356	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/009/SRR5342259
PRJNA208535	SAMN06600016	SRX2638934	SRR5342260	1632839	human vaginal metagenome	658710;1062768	ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342260/SRR5342260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR534/000/SRR5342260/SRR5342260_2.fastq.gz		3171783	ftp.sra.ebi.ac.uk/vol1/srr/SRR534/000/SRR5342260
