study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA489669	SAMN09984916	SRX4648906	SRR7796413	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/003/SRR7796413/SRR7796413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/003/SRR7796413/SRR7796413_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/003/SRR7796413
PRJNA489669	SAMN09984917	SRX4648905	SRR7796414	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/004/SRR7796414/SRR7796414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/004/SRR7796414/SRR7796414_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/004/SRR7796414
PRJNA489669	SAMN09984918	SRX4648904	SRR7796415	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/005/SRR7796415/SRR7796415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/005/SRR7796415/SRR7796415_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/005/SRR7796415
PRJNA489669	SAMN09984919	SRX4648903	SRR7796416	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/006/SRR7796416/SRR7796416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/006/SRR7796416/SRR7796416_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/006/SRR7796416
PRJNA489669	SAMN09984920	SRX4648902	SRR7796417	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/007/SRR7796417/SRR7796417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/007/SRR7796417/SRR7796417_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/007/SRR7796417
PRJNA489669	SAMN09984921	SRX4648901	SRR7796418	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/008/SRR7796418/SRR7796418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/008/SRR7796418/SRR7796418_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/008/SRR7796418
PRJNA489669	SAMN09984922	SRX4648900	SRR7796419	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/009/SRR7796419/SRR7796419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/009/SRR7796419/SRR7796419_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/009/SRR7796419
PRJNA489669	SAMN09984923	SRX4648899	SRR7796420	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/000/SRR7796420/SRR7796420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/000/SRR7796420/SRR7796420_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/000/SRR7796420
PRJNA489669	SAMN09984924	SRX4648898	SRR7796421	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/001/SRR7796421/SRR7796421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/001/SRR7796421/SRR7796421_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/001/SRR7796421
PRJNA489669	SAMN09984925	SRX4648897	SRR7796422	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/002/SRR7796422/SRR7796422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/002/SRR7796422/SRR7796422_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/002/SRR7796422
PRJNA489669	SAMN09984935	SRX4648896	SRR7796423	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/003/SRR7796423/SRR7796423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/003/SRR7796423/SRR7796423_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/003/SRR7796423
PRJNA489669	SAMN09984934	SRX4648895	SRR7796424	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/004/SRR7796424/SRR7796424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/004/SRR7796424/SRR7796424_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/004/SRR7796424
PRJNA489669	SAMN09984931	SRX4648894	SRR7796425	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/005/SRR7796425/SRR7796425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/005/SRR7796425/SRR7796425_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/005/SRR7796425
PRJNA489669	SAMN09984930	SRX4648893	SRR7796426	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/006/SRR7796426/SRR7796426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/006/SRR7796426/SRR7796426_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/006/SRR7796426
PRJNA489669	SAMN09984933	SRX4648892	SRR7796427	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/007/SRR7796427/SRR7796427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/007/SRR7796427/SRR7796427_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/007/SRR7796427
PRJNA489669	SAMN09984932	SRX4648891	SRR7796428	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/008/SRR7796428/SRR7796428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/008/SRR7796428/SRR7796428_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/008/SRR7796428
PRJNA489669	SAMN09984927	SRX4648890	SRR7796429	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/009/SRR7796429/SRR7796429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/009/SRR7796429/SRR7796429_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/009/SRR7796429
PRJNA489669	SAMN09984926	SRX4648889	SRR7796430	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/000/SRR7796430/SRR7796430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/000/SRR7796430/SRR7796430_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/000/SRR7796430
PRJNA489669	SAMN09984929	SRX4648888	SRR7796431	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/001/SRR7796431/SRR7796431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/001/SRR7796431/SRR7796431_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/001/SRR7796431
PRJNA489669	SAMN09984928	SRX4648887	SRR7796432	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/002/SRR7796432/SRR7796432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/002/SRR7796432/SRR7796432_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/002/SRR7796432
PRJNA489669	SAMN09984949	SRX4648886	SRR7796433	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/003/SRR7796433/SRR7796433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/003/SRR7796433/SRR7796433_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/003/SRR7796433
PRJNA489669	SAMN09984948	SRX4648885	SRR7796434	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/004/SRR7796434/SRR7796434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/004/SRR7796434/SRR7796434_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/004/SRR7796434
PRJNA489669	SAMN09984947	SRX4648884	SRR7796435	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/005/SRR7796435/SRR7796435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/005/SRR7796435/SRR7796435_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/005/SRR7796435
PRJNA489669	SAMN09984946	SRX4648883	SRR7796436	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/006/SRR7796436/SRR7796436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/006/SRR7796436/SRR7796436_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/006/SRR7796436
PRJNA489669	SAMN09984953	SRX4648882	SRR7796437	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/007/SRR7796437/SRR7796437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/007/SRR7796437/SRR7796437_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/007/SRR7796437
PRJNA489669	SAMN09984952	SRX4648881	SRR7796438	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/008/SRR7796438/SRR7796438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/008/SRR7796438/SRR7796438_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/008/SRR7796438
PRJNA489669	SAMN09984951	SRX4648880	SRR7796439	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/009/SRR7796439/SRR7796439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/009/SRR7796439/SRR7796439_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/009/SRR7796439
PRJNA489669	SAMN09984950	SRX4648879	SRR7796440	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/000/SRR7796440/SRR7796440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/000/SRR7796440/SRR7796440_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/000/SRR7796440
PRJNA489669	SAMN09984955	SRX4648878	SRR7796441	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/001/SRR7796441/SRR7796441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/001/SRR7796441/SRR7796441_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/001/SRR7796441
PRJNA489669	SAMN09984954	SRX4648877	SRR7796442	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/002/SRR7796442/SRR7796442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/002/SRR7796442/SRR7796442_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/002/SRR7796442
PRJNA489669	SAMN09984944	SRX4648876	SRR7796443	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/003/SRR7796443/SRR7796443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/003/SRR7796443/SRR7796443_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/003/SRR7796443
PRJNA489669	SAMN09984945	SRX4648875	SRR7796444	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/004/SRR7796444/SRR7796444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR779/004/SRR7796444/SRR7796444_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR779/004/SRR7796444
